产品ID,产品名称,类型,形态,关系定位,目标用户,平台,记忆,语音,视觉具身,主动触达,硬件,商业模式,官网,证据状态,最近核验日期,负责人,备注,开发者,所在国家/地区,iOS App ID,Android Package,Web域名,发现来源,发现市场,规模指标类型,规模下限,规模上限,规模原文,规模数据源,规模核验日期,规模置信度,入选状态,研究层级,数据缺口,扫描批次
PRD-011,Anima,App,关系型陪伴,朋友/伴侣式关系,普通成人,"iOS;Android",中,有,Avatar,有,无,Freemium/订阅,https://myanima.ai/,采集中,2026-07-16,待认领,美国区 Apple Search 未找到可确认的当前 iOS 条目,Apperry Ltd.,,,anima.virtual.ai.robot.friend,https://myanima.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=anima.virtual.ai.robot.friend,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-012,Paradot,App,关系型陪伴,AI 朋友/数字生命,偏好持续关系的成人,"iOS;Android",强,有,Avatar,有,无,Freemium/订阅,https://www.paradot.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 10M+,Dots Parallel TX Limited,,6451469304,com.withfeelingai.test,https://www.paradot.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=com.withfeelingai.test,2026-07-16,高,符合规模,重点,"iOS规模;定价;评论;截图",B001
PRD-013,EVA AI,App,关系型陪伴,恋爱/灵魂伴侣,成人浪漫陪伴用户,"iOS;Android",中,有,Avatar,有,无,Freemium/订阅,https://evaapp.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 5M+,Novi Limited,,1551794721,com.ifriend.app,https://evaapp.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.ifriend.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-014,PolyBuzz,App,角色与内容互动,角色扮演/UGC 角色,角色内容用户,"iOS;Android;Web",中,有,角色卡/生成图,有,无,Freemium/订阅,https://www.polybuzz.ai/,采集中,2026-07-16,待认领,Google Play 安装区间达到 10M+,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,美国,6449190344,ai.socialapps.speakmaster,https://www.polybuzz.ai/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-015,HiWaifu,App,角色与关系互动,朋友/恋爱/角色扮演,成人角色聊天用户,"iOS;Android",中,有,角色卡,有,无,Freemium/订阅,https://hiwaifu.com/,采集中,2026-07-16,待认领,当前 Google Play 包名为 com.hiwaifu.app；原线索 com.ai.friend.chatbot 页面不可访问,LANGUAGE POWER MEDIA LIMITED,,6447806780,com.hiwaifu.app,https://hiwaifu.com/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.hiwaifu.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-016,Linky,App,角色与内容互动,AI 角色创建/角色扮演,角色内容与创作用户,"iOS;Android",中,有,角色卡/生成图,有,无,Freemium/订阅,https://linky-ai.com/,采集中,2026-07-16,待认领,Google Play 安装区间达到 5M+,SKYWORK AI PTE LTD,新加坡,6450916631,com.aigc.ushow.ichat,https://linky-ai.com/,关键词扫描+Google Play 商店页,"US;全球",Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-017,Romantic AI,App,恋爱型陪伴,AI 女友/朋友,成人浪漫陪伴用户,Android,中,文本,Avatar,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 标题为 AI Girlfriend: Romantic Chat,RoboBot Studio,意大利,,com.testa.chatbot,,Google Play 关键词扫描,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.testa.chatbot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-018,iGirl,App,恋爱型陪伴,AI 女友/角色扮演,成人浪漫陪伴用户,Android,中,文本,"2D/3D Avatar",有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+,LABANE CORP. Limited,,,ai.girlfriend.virtual.dating.lover.igirl,,Google Play 关键词扫描,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=ai.girlfriend.virtual.dating.lover.igirl,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-019,Pi,App,情绪支持型陪伴,支持者/倾听者,希望讨论生活和情绪的普通用户,"Web;短信;WhatsApp;移动端状态待核验",中,实时语音/待核验,无,非核心,无,待核验,https://pi.ai/,采集中,2026-07-17,待认领,"当前官网继续提供 Web、短信和 WhatsApp；历史 Google Play 公开安装区间 500K+，移动应用当前状态需复核",Inflection AI,美国,,ai.inflection.pi,https://pi.ai/,Google Play 历史记录+官网复核,"US;全球",历史Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.inflection.pi,2026-07-17,高,符合规模,重点,"移动端状态;现行商业模式;评论;截图",B001
PRD-020,Botify AI,App,角色与内容互动,AI 角色/灵魂伴侣/社区,角色创建与角色扮演用户,"iOS;Android;Web",中,语音/通话,角色卡/生成图,有,无,Freemium/订阅,https://botify.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+,Ex-human Inc.,美国,,ai.botify.app,https://botify.ai/,Google Play 关键词扫描,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=ai.botify.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-021,Dopple.AI,App,角色与内容互动,社区角色/角色扮演,角色内容用户,"iOS;Android;Web",中,文本,角色卡,非核心,无,Freemium/订阅,https://dopple.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；页面更新停留在 2025-06,Dopple Labs Inc.,美国,,mobile.dopple.ai,https://dopple.ai/,Google Play 相似应用+关键词扫描,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=mobile.dopple.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;活跃状态;定价;评论;截图",B001
PRD-022,Emochi,App,角色与内容互动,动漫角色/故事/角色扮演,动漫与角色内容用户,"iOS;Android;Web",中,文本,动画角色/生成图,有,无,Freemium/订阅,https://emochi.com/,采集中,2026-07-16,待认领,Google Play 公开安装区间 10M+ 且评论量高，优先进入评论抽样,FlowGPT,美国,,com.flow.mobile,https://emochi.com/,Google Play 关键词扫描,"US;全球",Android安装区间,10000000,49999999,10M+,https://play.google.com/store/apps/details?id=com.flow.mobile,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-023,RolePlai,App,高度可配置陪伴,自建角色/冒险/关系,偏好角色定制与故事的用户,"iOS;Android",中,语音/Face Chat,Avatar,有,无,Freemium/订阅,https://roleplai.app/,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+,RolePlai,,1671444242,com.roleplai.app,https://roleplai.app/,Google Play 关键词扫描,"US;全球",Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.roleplai.app,2026-07-16,高,符合规模,标准卡,"iOS规模;定价;评论;截图",B001
PRD-024,Poppy,App,恋爱与角色互动,动漫伴侣/角色扮演,成人动漫角色聊天用户,Android,中,文本,动漫角色,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+,Fainax Apps,,,com.poppy.helper.tkb,,Google Play 关键词扫描,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.poppy.helper.tkb,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-025,Crush AI,App,恋爱型陪伴,AI 女友/虚拟伴侣,成人浪漫陪伴用户,Android,中,文本,Avatar,有,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；不是 CrushOn.AI,X PhotoKit,,,com.xphotokit.crushai,,Google Play 关键词扫描,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.xphotokit.crushai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B001
PRD-026,Rosytalk,App,角色与内容互动,虚拟伴侣/角色扮演/情绪支持,角色与陪伴用户,Android,有（厂商描述）,语音/视频通话,角色卡/生成图,有（厂商描述）,无,Freemium/订阅,,采集中,2026-07-16,待认领,"商店页强调记忆、主动对话、角色创建和实时通话",MINDZEN AI,,,com.rosytalk.ai,,Google Play关键词扫描+开发者组合,US,Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.rosytalk.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论",B002
PRD-027,Fantasia,App,角色与内容互动,角色扮演/AI 角色,角色内容用户,Android,待核验,待核验,角色卡/生成图,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-03 更新,MINDZEN AI,,,com.fantasia.ai,,Google Play关键词扫描+开发者组合,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.fantasia.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-028,Dialogue,App,角色与关系互动,AI 角色/数字伴侣,希望沉浸式陪伴的成人用户,Android,待核验,待核验,角色卡/数字人,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 标题为 Dialogue: AI Chat & Companion；2026-06-26 更新,Pheon,,,com.pheon,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.pheon,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-029,Saylo,App,角色与内容互动,创意世界/故事/角色扮演,故事与角色内容用户,Android,待核验,待核验,角色卡/生成内容,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 5M+；2026-07-04 更新,X ORIGINAL(HONG KONG) LIMITED,中国香港,,com.xverse.aistory,,Google Play关键词扫描+相似应用,US,Android安装区间,5000000,9999999,5M+,https://play.google.com/store/apps/details?id=com.xverse.aistory,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-030,Otherhalf,App,关系型陪伴,动漫朋友/情绪陪伴,偏好固定动漫角色的用户,Android,待核验,待核验,动漫角色,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；2026-05-14 更新,"Azimov, Inc",美国,,com.azimov.otherhalf,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.azimov.otherhalf,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-031,MingloTalk,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-06-09 更新,shopihi,,,ai.minglotalk.chatbot,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.minglotalk.chatbot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-032,Dootchi,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-06-25 更新,Hello Kirana,,,com.lucky.zootchi,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.lucky.zootchi,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-033,Cycle AI,App,角色与关系互动,AI 朋友/角色扮演,角色与陪伴用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-03 更新,Beefun Pte. Ltd.,新加坡,,com.cycleai.android,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.cycleai.android,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-034,Flipped,App,角色与内容互动,AI 角色聊天/故事互动,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-10 更新,Flipped Chat,,,com.dating.ai,,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.dating.ai,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-035,zeta,App,角色与内容互动,互动故事/UGC 角色/主角体验,浪漫、幻想和互动故事用户,"iOS;Android",待核验,待核验,角色卡/故事/对话转图,非核心,无,Freemium+广告+应用内购买,https://zeta-ai.io/,采集中,2026-07-17,待认领,"Android 1M+、4.5 分与约 156K 评论；主打免费无限聊天、1 分钟建角、Smart Reply 和对话转图；评论出现广告、宕机、重复和角色资料保存失败","Scatter Lab, Inc.",韩国,1578235562,com.scatterlab.messenger,https://zeta-ai.io/,Google Play关键词扫描+相似应用+App Store 复核,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.scatterlab.messenger,2026-07-17,高,符合规模,重点,"记忆结构;广告频率;付费权益;角色资料稳定性;账号内截图",B002
PRD-036,PixelChat,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-07-08 更新,NextDayAI,,,ai.nextday.mobile.android.pixelchat,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.nextday.mobile.android.pixelchat,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-037,Rochat,App,角色与内容互动,AI 角色聊天/角色扮演,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,https://rochat.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-07-02 更新,rochat.ai,,,ai.rochat.bot,https://rochat.ai/,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.rochat.bot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-038,Suka,App,角色与内容互动,AI 角色/故事互动,角色内容用户,Android,待核验,待核验,角色卡/故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2025-12-29 更新,AILI TECH,,,com.ezuseapp.ezcrush.chatbot,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.ezuseapp.ezcrush.chatbot,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-039,Moescape,App,角色与内容互动,AI 角色聊天/创作,动漫角色与创作用户,Android,待核验,待核验,角色卡/AI 艺术,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-07-15 更新,Moescape,,,ai.moescape.android,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=ai.moescape.android,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-040,Blush,App,恋爱与关系模拟,AI 约会模拟/关系练习,成人浪漫关系用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,https://blush.ai/,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-03 更新,Blush AI,美国,,ai.blush,https://blush.ai/,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=ai.blush,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-041,LoveMode,App,恋爱型陪伴,AI 女友/浪漫聊天,成人浪漫陪伴用户,Android,待核验,待核验,Avatar,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；2026-06-23 更新,kodrakcompany,,,com.kodrak.aidreamgirls,,Google Play关键词扫描+相似应用,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=com.kodrak.aidreamgirls,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-042,Crushie AI,App,恋爱型陪伴,浪漫 AI 聊天/虚拟伴侣,成人浪漫陪伴用户,Android,待核验,待核验,Avatar,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 标题显示为 Crushie Al: Romance AI Chat；2026-07-02 更新,Qianfan Hong Kong Limited,中国香港,,ai.onspace.app,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.onspace.app,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-043,MiraiMind,App,高度可配置陪伴,自建 AI 人格/角色关系与成长,偏好自定义角色、恋爱叙事和关系养成的成人用户,"iOS;Android",强记忆主张；评论争议,可设声音,角色卡/Avatar/AI 绘图,互动等级/礼物,无,Freemium+订阅+广告+虚拟币,https://miraimind.hellogroupjapan.com/,采集中,2026-07-17,待认领,"Android 1M+、2.3 分与约 30.3K 评论；提供内心想法、角色日常、礼物和互动等级，但评论集中质疑 15–20 轮遗忘、付费记忆效果和角色单一化","HELLO GROUP JAPAN CO., LTD.",日本,6502374920,com.immomo.miraimind,https://miraimind.hellogroupjapan.com/,Google Play关键词扫描+相似应用+App Store 复核,"US;全球",Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.immomo.miraimind,2026-07-17,高,符合规模,重点,"记忆实效;互动等级作用;免费币失效;订阅价格;账号内截图",B002
PRD-044,AI Dungeon,App,互动叙事,AI 故事/RPG/多人冒险,互动故事和角色扮演用户,"Android;Web",剧情上下文,待核验,文本故事,非核心,无,Freemium/订阅,https://aidungeon.com/,采集中,2026-07-16,待认领,偏互动叙事而非 1:1 陪伴；作为邻接品类保留,"Latitude Inc.",美国,,com.aidungeon,https://aidungeon.com/,Google Play关键词扫描+相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.aidungeon,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-045,FictionLab AI,App,互动叙事,AI 故事/角色扮演,互动故事用户,Android,剧情上下文,待核验,文本故事,非核心,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；2026-07-13 更新,FictionLab,,,ai.fictionlab.app,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.fictionlab.app,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-046,Hangjam,App,角色与内容互动,AI 聊天/角色扮演,角色与故事用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；2026-06-22 更新,Hangjam,,,ai.hangjam.app,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=ai.hangjam.app,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-047,Yollo AI,App,角色与内容互动,AI 角色扮演/视频互动,角色内容用户,Android,待核验,待核验,角色卡/AI 视频,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 100K+；2026-06-05 更新,Shijiazhuang Youcode Network Technology Co. Ltd.,中国,,com.isetsail.yollo,,Google Play关键词扫描+相似应用,US,Android安装区间,100000,499999,100K+,https://play.google.com/store/apps/details?id=com.isetsail.yollo,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-048,Tipsy Chat,App,互动叙事,AI 故事/角色扮演,互动故事与角色用户,Android,剧情上下文,待核验,角色卡/故事,待核验,无,Freemium/订阅,,采集中,2026-07-16,待认领,Google Play 公开安装区间 1M+；2026-07-12 更新,krachdev,,,com.tipsyturbo.app,,Google Play相似应用,US,Android安装区间,1000000,4999999,1M+,https://play.google.com/store/apps/details?id=com.tipsyturbo.app,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;定价;评论;截图",B002
PRD-049,Sakura,App,角色与内容互动,AI 角色/聊天机器人,角色内容用户,Android,待核验,待核验,角色卡,待核验,无,Freemium/订阅,https://www.sakura.fm/,采集中,2026-07-16,待认领,Google Play 公开安装区间 500K+；最近更新停留在 2024-12-30,Sakura AI LLC,美国,,fm.sakura.app,https://www.sakura.fm/,Google Play关键词扫描,US,Android安装区间,500000,999999,500K+,https://play.google.com/store/apps/details?id=fm.sakura.app,2026-07-16,高,符合规模,标准卡,"iOS规模;Web规模;活跃状态;定价;评论;截图",B002
